Time,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,1292
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,77
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,75
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,70
2026-07-05 15:04:35,192.168.0.121,192.168.0.1,UDP,52762,53,98
2026-07-05 15:04:35,192.168.0.121,192.168.0.1,UDP,50706,53,98
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,863
2026-07-05 15:04:35,192.168.0.1,192.168.0.121,UDP,53,52762,155
2026-07-05 15:04:35,192.168.0.1,192.168.0.121,UDP,53,50706,149
2026-07-05 15:04:35,192.168.0.121,150.129.7.108,UDP,56242,443,1292
2026-07-05 15:04:35,192.168.0.121,150.129.7.108,UDP,56242,443,1292
2026-07-05 15:04:35,150.129.7.108,192.168.0.121,UDP,443,56242,82
2026-07-05 15:04:35,150.129.7.108,192.168.0.121,UDP,443,56242,1292
2026-07-05 15:04:35,150.129.7.108,192.168.0.121,UDP,443,56242,1292
2026-07-05 15:04:35,150.129.7.108,192.168.0.121,UDP,443,56242,1292
2026-07-05 15:04:35,150.129.7.108,192.168.0.121,UDP,443,56242,1292
2026-07-05 15:04:35,150.129.7.108,192.168.0.121,UDP,443,56242,1158
2026-07-05 15:04:35,192.168.0.121,150.129.7.108,UDP,56242,443,81
2026-07-05 15:04:35,192.168.0.121,150.129.7.108,UDP,56242,443,81
2026-07-05 15:04:35,192.168.0.121,150.129.7.108,UDP,56242,443,125
2026-07-05 15:04:35,192.168.0.121,150.129.7.108,UDP,56242,443,116
2026-07-05 15:04:35,192.168.0.121,150.129.7.108,UDP,56242,443,1288
2026-07-05 15:04:35,192.168.0.121,150.129.7.108,UDP,56242,443,1288
2026-07-05 15:04:35,192.168.0.121,150.129.7.108,UDP,56242,443,850
2026-07-05 15:04:35,150.129.7.108,192.168.0.121,UDP,443,56242,573
2026-07-05 15:04:35,150.129.7.108,192.168.0.121,UDP,443,56242,158
2026-07-05 15:04:35,150.129.7.108,192.168.0.121,UDP,443,56242,65
2026-07-05 15:04:35,150.129.7.108,192.168.0.121,UDP,443,56242,69
2026-07-05 15:04:35,192.168.0.121,150.129.7.108,UDP,56242,443,74
2026-07-05 15:04:35,150.129.7.108,192.168.0.121,UDP,443,56242,627
2026-07-05 15:04:35,192.168.0.121,150.129.7.108,UDP,56242,443,77
2026-07-05 15:04:35,142.250.202.142,192.168.0.121,UDP,443,50588,74
2026-07-05 15:04:35,150.129.7.108,192.168.0.121,UDP,443,56242,66
2026-07-05 15:04:35,192.168.0.121,142.250.202.142,UDP,50588,443,74
